Ticker,R2_Sum,GDP,Inflation,Unemployment,CCI
['PGR'],0.8542199999999999,0.15482,0.14635,0.14756,0.24358
['PG'],0.7823684615384614,0.22102,0.20673,0.31303,0.25922
['PHM'],0.8475030769230769,0.22405,0.24673,0.23035,0.29887
['PH'],0.7844669230769229,0.21957,0.22124,0.22855,0.33064
['PKG'],0.7689746153846152,0.24476,0.23398,0.20605,0.31521
['PLD'],0.78257,0.17622,0.16297,0.18389,0.32308
['PM'],0.8634453846153846,0.21764,0.19357,0.27424,0.31455
['PNR'],0.82946,0.22974,0.22997,0.23208,0.30821
['PNW'],0.8810461538461539,0.26931,0.25931,0.26992,0.20146
['PODD'],0.7924907692307693,0.23193,0.26069,0.23137,0.27601
['POOL'],0.738426923076923,0.24347,0.22813,0.2293,0.29911
['PPG'],0.7891423076923076,0.2243,0.20963,0.25257,0.3135
['PPL'],0.819146923076923,0.26786,0.23653,0.24655,0.24906
['PRU'],0.8192307692307692,0.17465,0.15554,0.19276,0.16936
['PSA'],0.8366784615384615,0.1504,0.15416,0.18774,0.27694
['PSX'],0.8771946153846154,0.21688,0.2201,0.24341,0.31961
['PTC'],0.8370584615384615,0.19151,0.2004,0.21103,0.24322
['PWR'],0.7622138461538461,0.22533,0.2548,0.25938,0.26049
['PYPL'],0.8565876923076922,0.19329,0.17634,0.20155,0.27498
['QCOM'],0.8209438461538462,0.21883,0.23342,0.25781,0.28994
['QRVO'],0.8227399999999998,0.27754,0.28784,0.23165,0.20297
['RCL'],0.8752046153846155,0.2302,0.23925,0.24201,0.28855
['REGN'],0.8472061538461537,0.22263,0.21178,0.24567,0.24299
['REG'],0.8578230769230769,0.19071,0.20344,0.20878,0.24322
['RJF'],0.9026584615384615,0.14769,0.1522,0.14353,0.17196
['RL'],0.8363592307692307,0.24152,0.22413,0.22715,0.23028
['RMD'],0.8133307692307692,0.20427,0.21844,0.37214,0.20516
['ROK'],0.8155123076923078,0.23962,0.22784,0.2184,0.31414
['ROL'],0.7728500000000001,0.2546,0.2355,0.24977,0.26013
['ROP'],0.8658230769230768,0.23855,0.24868,0.2258,0.28697
['ROST'],0.8420723076923077,0.18717,0.19582,0.30642,0.23366
['RSG'],0.8650192307692308,0.22681,0.2471,0.24923,0.27686
['RTX'],0.8203092307692308,0.23768,0.2135,0.2665,0.28232
['RVTY'],0.832183076923077,0.23139,0.23042,0.27038,0.26781
['SBAC'],0.9034853846153846,0.19689,0.18683,0.22411,0.23832
['SBUX'],0.8241407692307692,0.22232,0.21924,0.25194,0.3065
['SHW'],0.7232500000000001,0.22979,0.23382,0.26245,0.27394
['SJM'],0.8040046153846154,0.24797,0.23849,0.29812,0.21542
['SLB'],0.8884476923076924,0.23845,0.26066,0.2772,0.2237
['SNA'],0.8610892307692309,0.23681,0.23691,0.26002,0.26625
['SNPS'],0.8944499999999999,0.21213,0.19668,0.23778,0.27649
['SO'],0.8140923076923076,0.23403,0.22265,0.26148,0.28184
['SPGI'],0.8709815384615385,0.23232,0.20869,0.1904,0.21474
['SPG'],0.8634992307692306,0.219,0.21067,0.20241,0.21406
['SRE'],0.7642853846153845,0.21978,0.2405,0.24703,0.29269
['STE'],0.8547546153846154,0.24773,0.25459,0.23164,0.26604
['STLD'],0.8108923076923076,0.24844,0.24704,0.23849,0.26603
['STT'],0.8619430769230768,0.15671,0.15377,0.17464,0.13027
['STX'],0.8314361538461538,0.27101,0.27505,0.18085,0.27309
['STZ'],0.8466269230769231,0.28835,0.27468,0.21547,0.22149
