Ticker,Avg Stock Price All Time,Stock Trend,Average Returns % (Mean),Standard Deviation,"Cov (Stock, Market)",Variance (Market),Beta,"R2_score (Indicators: GDP, Inf, Unemp, CCI)"
KDP,19.83,Decreasing,20.03,17.5,0.0066,0.0306,0.22,0.9830289685526559
KEY,12.43,Decreasing,7.9,27.56,0.0301,0.076,0.4,0.8667353019410653
KIM,15.54,Decreasing,6.64,25.59,0.0141,0.0655,0.22,0.9218279776073299
KKR,29.21,Decreasing,18.93,29.91,0.0314,0.0895,0.35,0.9486174612404165
KLAC,163.29,Decreasing,30.1,20.56,0.0172,0.0423,0.41,0.958862725351018
KMB,100.57,Decreasing,7.04,9.12,-0.003,0.0083,-0.36,0.9578096037343573
KMI,15.71,Decreasing,-0.71,18.15,0.0075,0.0329,0.23,0.9078347026917037
KMX,73.42,Decreasing,7.2,22.59,0.0223,0.051,0.44,0.9069732777546503
KO,40.71,Decreasing,7.68,5.5,0.0001,0.003,0.03,0.9835207411325826
KR,29.27,Increasing,14.28,22.84,0.0029,0.0522,0.06,0.9526001840707329
K,50.38,Increasing,3.91,9.03,-0.0043,0.0081,-0.53,0.9323360569493607
LDOS,60.25,Decreasing,16.79,13.49,0.0015,0.0182,0.08,0.9823440975327167
LEN,59.34,Decreasing,14.58,20.45,0.0139,0.0418,0.33,0.9261127597388357
LHX,130.27,Increasing,17.08,15.88,0.0094,0.0252,0.37,0.9826937539425804
LH,141.21,Decreasing,10.82,16.28,0.0168,0.0265,0.63,0.9492578250255026
LIN,180.38,Decreasing,15.05,12.23,0.008,0.015,0.53,0.9657539443145604
LKQ,33.72,Decreasing,8.83,19.84,0.0166,0.0394,0.42,0.9487459606857738
LLY,146.36,Decreasing,28.3,16.44,0.0033,0.027,0.12,0.9547454432128173
LMT,263.8,Increasing,19.03,14.53,-0.001,0.0211,-0.05,0.9836186252791208
LNT,36.25,Decreasing,11.42,8.83,0.0016,0.0078,0.21,0.9778021580070435
LOW,106.43,Decreasing,20.17,15.63,0.0129,0.0244,0.53,0.9597998899995154
LRCX,245.22,Decreasing,34.44,31.31,0.0283,0.098,0.29,0.9404764493700313
LULU,177.7,Decreasing,23.67,35.65,-0.0032,0.1271,-0.03,0.9587565472378505
LUV,38.96,Decreasing,14.66,38.64,0.0297,0.1493,0.2,0.9453391387302144
LVS,48.49,Increasing,4.1,20.13,0.0029,0.0405,0.07,0.8649859522241596
LYB,65.29,Decreasing,9.92,20.58,0.0208,0.0424,0.49,0.9157106927271559
LYV,50.61,Decreasing,21.42,27.08,0.0281,0.0734,0.38,0.9736122440435323
L,46.77,Decreasing,4.71,15.31,0.0112,0.0234,0.48,0.9484841429787004
MAA,95.3,Decreasing,13.35,17.15,0.012,0.0294,0.41,0.9554960220948224
MAR,105.12,Decreasing,19.3,22.27,0.0188,0.0496,0.38,0.9731538681502266
MAS,35.8,Decreasing,14.22,12.19,0.0053,0.0149,0.36,0.9520198432296997
MA,203.55,Decreasing,21.86,15.12,0.0062,0.0229,0.27,0.9798447656824759
MCD,153.6,Decreasing,14.44,8.16,0.0017,0.0067,0.25,0.9854422849015585
MCHP,41.7,Decreasing,19.3,18.59,0.0172,0.0346,0.5,0.9600824926634738
MCK,192.25,Decreasing,16.48,26.62,0.0021,0.0709,0.03,0.9569426378681424
MCO,180.71,Decreasing,20.51,16.61,0.0132,0.0276,0.48,0.958557425380268
MDLZ,43.43,Decreasing,11.05,7.34,0.0009,0.0054,0.17,0.9674451882097148
MDT,74.15,Increasing,8.03,13.7,0.0105,0.0188,0.56,0.9456020695910534
META,164.85,Increasing,27.12,32.78,0.0186,0.1074,0.17,0.9334000926355989
MET,40.87,Decreasing,9.73,19.95,0.0204,0.0398,0.51,0.9556493155200727
MGM,27.96,Decreasing,14.44,31.57,0.0322,0.0996,0.32,0.9096382434695116
MHK,157.23,Decreasing,3.23,34.08,0.0352,0.1161,0.3,0.8966418944283565
MKC,56.88,Decreasing,11.13,12.15,-0.0034,0.0148,-0.23,0.9805808312358191
MKTX,222.02,Decreasing,24.1,29.88,-0.0016,0.0893,-0.02,0.9501545127595179
MLM,223.65,Decreasing,17.42,17.58,0.0162,0.0309,0.52,0.9512089913479049
MMC,89.75,Decreasing,18.45,6.94,0.0068,0.0048,1.42,0.9690071127282802
MMM,107.39,Decreasing,3.76,18.11,0.0168,0.0328,0.51,0.9130552515583273
MNST,30.51,Decreasing,20.92,20.68,0.0072,0.0428,0.17,0.9392607198816656
MOH,141.9,Decreasing,27.13,24.42,0.0128,0.0596,0.21,0.9692805486475123
MOS,31.83,Decreasing,5.77,42.51,0.029,0.1807,0.16,0.8987042337476014
MO,33.29,Increasing,9.51,15.97,0.0072,0.0255,0.28,0.9521323673848505
MPC,52.98,Decreasing,21.98,33.48,0.0134,0.1121,0.12,0.9502060541591174
MPWR,188.52,Decreasing,36.82,22.93,0.0206,0.0526,0.39,0.9560448375891956
MRK,59.05,Decreasing,13.37,11.23,-0.0036,0.0126,-0.29,0.9719689120695557
MRO,18.26,Decreasing,9.98,52.42,0.0235,0.2748,0.09,0.8829476990372369
MSCI,224.23,Decreasing,33.28,20.6,0.0142,0.0424,0.33,0.9641550582953692
MSFT,133.42,Decreasing,28.71,15.18,0.0106,0.023,0.46,0.9641654613002518
MSI,128.57,Decreasing,19.73,13.57,0.0074,0.0184,0.4,0.9755223991705433
MS,45.29,Decreasing,18.86,30.24,0.0336,0.0915,0.37,0.9493406842137655
MTB,117.92,Increasing,6.35,19.55,0.0154,0.0382,0.4,0.9182189914792158
