Ticker,Current Assets,Quick Ratio,Debt To Equity Ratio,Total Debt To Total Capitalization Ratio,Debt To Assets Ratio,Net Debt To Equity Ratio,Return On Equity,Return On Assets,Return On Investment,Gross Profit Margin,Asset Turnover,Inventory Turnover,Receivables Turnover,GDP,Inflation,Unemployment,CCI
FTV,0.68451,0.67634,0.94471,0.97469,0.95264,0.83018,0.78177,0.83039,0.78006,0.89833,0.92981,0.91874,0.9108,0.25661,0.23784,0.25783,0.24773
F,0.71565,0.91321,0.81319,0.69126,0.76825,0.85401,0.71083,0.77676,0.7237,0.78753,0.96553,0.76843,0.77626,0.26903,0.24034,0.26955,0.22109
GDDY,0.72531,1.0,0.79096,0.66992,0.72656,0.82709,0.73447,0.8539,0.85881,0.9145,0.93848,1.0,0.77153,0.18886,0.18409,0.20713,0.26607
GD,0.74612,0.87752,0.92367,0.87611,0.94171,0.90556,0.86325,0.70858,0.7092,0.69921,0.81363,0.79573,0.8915,0.25038,0.22946,0.27598,0.24417
GEHC,0.7574,0.8028,0.635,0.6848,0.815,0.6702,0.6974,0.7356,0.7496,0.75,0.768,0.8102,0.7598,0.24016,0.26088,0.26086,0.23809
GEN,0.78965,1.0,0.80158,0.85757,0.75337,0.74118,0.7895,0.83355,0.82032,0.7984,0.85597,1.0,0.69292,0.2093,0.19665,0.19994,0.24026
GEV,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
GE,0.91715,0.94086,0.87854,0.84782,0.86769,0.88207,0.73565,0.78178,0.77574,0.85676,0.81915,0.72509,0.81383,0.25195,0.23845,0.28818,0.22143
GILD,0.73922,0.69212,0.90018,0.84938,0.8092,0.88584,0.85027,0.8277,0.72412,0.69409,0.9361,0.72419,0.82226,0.24605,0.21121,0.25021,0.29253
GIS,0.79284,0.81728,0.84423,0.84389,0.86371,0.82014,0.77949,0.83826,0.82695,0.90358,0.90057,0.87018,0.87725,0.20741,0.22809,0.28319,0.28131
GLW,0.82745,0.88529,0.79937,0.82047,0.7061,0.88534,0.71511,0.7105,0.65032,0.73429,0.7789,0.768,0.9222,0.23767,0.2489,0.24958,0.26384
GL,1.0,1.0,0.97998,0.96599,0.9388,0.9388,0.92125,0.81976,0.95634,1.0,0.96101,1.0,1.0,0.16219,0.15365,0.14848,0.15106
GM,0.79338,0.74146,0.8471,0.83388,0.89069,0.81922,0.74868,0.68422,0.78738,0.64902,0.9462,0.74598,0.90553,0.24506,0.23007,0.26492,0.25995
GNRC,0.72198,0.74636,0.74437,0.67777,0.7207,0.92829,0.93118,0.94487,0.94045,0.95009,0.82751,0.88226,0.86771,0.23411,0.24158,0.23112,0.29318
GOOGL,0.82996,0.82653,0.77832,0.69649,0.74865,1.0,0.69361,0.66372,0.68736,0.75184,0.82715,0.77965,0.89777,0.24303,0.23443,0.22693,0.21868
GOOG,0.86606,0.8608,0.7609,0.65506,0.77713,1.0,0.73845,0.70936,0.60053,0.65599,0.89568,0.81424,0.89693,0.21955,0.23716,0.23523,0.23114
GPC,0.50715,0.56384,0.80128,0.80167,0.7905,0.93309,0.80278,0.93055,0.86738,0.85676,0.81715,0.9262,0.89228,0.2217,0.23238,0.2603,0.28561
GPN,0.82219,1.0,0.94255,0.95002,0.94388,0.91875,0.64245,0.7509,0.70236,0.88236,0.90046,1.0,0.84085,0.18289,0.18373,0.20068,0.27884
